Product_Name,Inventory_Value,Sales_Volume,Revenue_90%,Best_Seller
Multigrain Bread,161.0,68.0,214.20000000000002,False
Cucumber,82.25,49.0,77.175,False
Olive Oil,312.0,100.0,540.0,False
Mushrooms,306.0,52.0,280.8,False
Egg (Goose),35.0,59.0,132.75,False
Greek Yogurt,3172.54,92.0,4236.876,False
Peach,160.0,70.0,252.0,False
White Tea,1275.0,29.0,665.5500000000001,False
Sushi Rice,327.25,42.0,160.65,False
Strawberries,182.9,46.0,244.26000000000005,False
Mushrooms,227.5,88.0,514.8000000000001,False
Broccoli,124.0,69.0,248.4,False
White Bread,140.0,56.0,126.0,False
Greek Yogurt,270.0,70.0,189.0,False
Canola Oil,181.7,92.0,190.44,False
Lime,58.0,81.0,145.8,False
Canola Oil,105.8,47.0,97.28999999999999,False
Blueberries,420.0,37.0,333.0,False
Mozzarella Cheese,115.2,56.0,362.88,False
Tuna,1602.0,76.0,1231.2,False
White Tea,500.0,73.0,1642.5,False
Black Coffee,555.0,94.0,1269.0,False
Bread Flour,145.5,35.0,47.25,False
Feta Cheese,686.0,92.0,579.6,False
Kiwi,222.0,47.0,253.8,False
Digestive Biscuit,388.0,57.0,205.20000000000002,False
Arabica Coffee,1940.0,74.0,1332.0,False
Lemon,225.0,71.0,159.75,False
Arabica Coffee,920.0,59.0,1062.0,False
Broccoli,160.0,86.0,309.6,False
Kale,308.0,48.0,172.8,False
Bread Flour,93.0,32.0,43.2,False
Herbal Tea,1770.0,69.0,1863.0,False
Blueberries,230.0,40.0,360.0,False
Digestive Biscuit,156.0,98.0,352.8,False
Gouda Cheese,476.0,53.0,333.90000000000003,False
Almond Flour,712.5,43.0,367.65000000000003,False
Chocolate Biscuit,480.0,45.0,202.5,False
Haddock,153.0,100.0,810.0,False
Egg (Duck),23.0,84.0,75.60000000000001,False
Peach,60.0,37.0,133.20000000000002,False
Mackerel,532.5,52.0,351.0,False
Egg (Goose),242.5,33.0,74.25,False
Zucchini,72.5,53.0,119.25,False
Bell Pepper,211.6,96.0,397.44,False
Cheese,722.0,60.0,513.0,False
Zucchini,147.5,54.0,121.5,False
Orange,285.2,79.0,220.41,False
Kiwi,168.0,70.0,378.0,False
Coconut,95.0,96.0,432.0,False
Butter,255.0,45.0,121.5,False
Bread Flour,85.5,53.0,71.55,False
Broccoli,380.0,52.0,187.20000000000002,False
Sushi Rice,378.0,39.0,157.95000000000002,False
Rice Flour,62.0,38.0,68.4,False
Pear,184.5,57.0,230.85,False
Feta Cheese,679.0,95.0,598.5,False
Milk,43.0,84.0,75.60000000000001,False
Palm Oil,133.20000000000002,31.0,50.220000000000006,False
Bread Flour,105.0,27.0,36.45,False
Cheese,634.8,28.0,231.83999999999997,False
Carrot,100.5,67.0,90.45,False
Short Grain Rice,54.0,61.0,164.70000000000002,False
Arabica Coffee,462.0,30.0,567.0,False
Grapes,484.0,93.0,460.35,False
Tilapia,546.0,63.0,396.90000000000003,False
Olive Oil,498.0,47.0,253.8,False
Robusta Coffee,441.0,34.0,321.3,False
Peas,147.0,82.0,221.4,False
Brown Rice,42.5,45.0,101.25,False
Buttermilk,124.8,21.0,45.36,False
Mushrooms,474.0,55.0,297.0,False
Palm Oil,63.0,62.0,100.44000000000001,False
Cucumber,136.8,22.0,35.64,False
Swiss Cheese,744.0,93.0,669.6,False
Halibut,800.0,39.0,702.0,False
Trout,218.5,96.0,993.6,False
Vegetable Oil,140.0,100.0,180.0,False
Digestive Biscuit,360.0,63.0,226.8,False
Digestive Biscuit,308.0,62.0,223.20000000000002,False
Apricot,190.0,33.0,148.5,False
Tilapia,651.0,72.0,453.6,False
Evaporated Milk,46.0,63.0,113.4,False
Green Tea,387.59999999999997,96.0,656.64,False
Heavy Cream,228.0,23.0,82.8,False
Papaya,265.5,63.0,255.15,False
Blueberries,890.0,79.0,711.0,False
Blueberries,530.0,55.0,495.0,False
Plum,42.9,40.0,140.4,False
Yogurt,103.25,92.0,144.9,False
Onion,68.0,90.0,162.0,False
Tuna,450.0,31.0,502.2,False
Anchovies,810.0,95.0,855.0,False
Apple,283.5,42.0,132.3,False
Watermelon,213.0,81.0,218.70000000000002,False
Cauliflower,130.0,56.0,126.0,False
Greek Yogurt,78.0,25.0,67.5,False
Haddock,756.0,60.0,486.0,False
Blueberries,280.0,48.0,432.0,False
Strawberries,564.0,40.0,216.0,False
Kiwi,282.0,70.0,378.0,False
Coconut Sugar,100.0,71.0,319.5,False
Tomato,210.0,86.0,193.5,False
Cheese,900.0,88.0,712.8000000000001,False
Milk,74.0,24.0,21.6,False
Green Coffee,324.0,88.0,950.4,False
Eggplant,273.0,42.0,113.4,False
Grapes,451.0,39.0,193.05,False
Bread Flour,126.0,83.0,112.05,False
Halibut,360.0,57.0,1026.0,False
Sourdough Bread,54.0,75.0,303.75,False
Black Rice,552.5,95.0,555.75,False
Butter Biscuit,198.0,20.0,108.0,False
Tilapia,413.0,57.0,359.1,False
Grapes,121.0,34.0,168.3,False
Gouda Cheese,469.0,73.0,459.90000000000003,False
Cheese,702.0,60.0,486.0,False
Lemon,176.4,25.0,55.12500000000001,False
Heavy Cream,252.0,21.0,75.60000000000001,False
White Bread,75.0,97.0,218.25,False
Arabica Coffee,720.0,91.0,1638.0,False
Grapes,484.0,57.0,282.15000000000003,False
Banana,5112.9,87.0,4214.106000000001,False
Broccoli,120.0,61.0,219.6,False
Green Beans,62.0,71.0,127.8,False
Cod,128.0,81.0,583.2,False
White Sugar,28.0,39.0,70.2,False
Tomato,110.0,82.0,184.5,False
Long Grain Rice,103.5,34.0,45.9,False
Long Grain Rice,106.5,66.0,89.10000000000001,False
Carrot,147.20000000000002,30.0,43.2,False
Peanut Oil,196.0,45.0,162.0,False
Pomegranate,312.0,38.0,205.20000000000002,False
Egg (Turkey),140.0,82.0,184.5,False
Strawberries,97.6,50.0,274.5,False
Zucchini,130.0,36.0,81.0,False
Trout,1046.5,81.0,838.35,False
Mango,272.6,85.0,359.55,False
Halibut,940.0,61.0,1098.0,False
Rye Bread,150.0,70.0,189.0,False
Sour Cream,172.0,59.0,212.4,False
Cheddar Cheese,605.2,79.0,632.7900000000001,False
Egg (Turkey),47.5,66.0,148.5,False
Swiss Cheese,560.0,71.0,511.2,False
Eggplant,291.0,29.0,78.3,False
Sunflower Oil,217.5,83.0,186.75,False
White Tea,1450.0,85.0,1912.5,False
Coconut,80.0,21.0,94.5,False
Pineapple,227.5,25.0,78.75,False
Basmati Rice,67.5,68.0,275.40000000000003,False
Bell Pepper,337.5,26.0,105.3,False
Vanilla Biscuit,440.0,63.0,311.85,False
Orange,239.4,48.0,123.12000000000002,False
Eggplant,51.0,49.0,132.3,False
Evaporated Milk,121.6,85.0,145.35,False
Whipped Cream,304.0,65.0,234.0,False
Sesame Oil,500.5,29.0,169.65,False
Cream,45.0,78.0,175.5,False
Coconut Sugar,255.0,21.0,94.5,False
Asparagus,340.0,84.0,378.0,False
Wild Rice,460.0,63.0,567.0,False
Long Grain Rice,147.0,30.0,40.5,False
Onion,100.0,30.0,54.0,False
Salmon,1320.0,61.0,823.5,False
Potato,31.2,64.0,69.12,False
Green Coffee,516.0,88.0,950.4,False
Powdered Sugar,115.0,54.0,121.5,False
Cauliflower,46.550000000000004,70.0,154.35,False
Kale,244.0,76.0,273.6,False
Garlic,301.0,95.0,598.5,False
Green Tea,680.0,81.0,619.65,False
Green Tea,272.0,97.0,698.4,False
Green Tea,704.0,78.0,561.6,False
Cottage Cheese,445.0,94.0,423.0,False
Wild Rice,260.0,40.0,360.0,False
Pear,117.0,92.0,372.6,False
Peach,148.0,93.0,334.8,False
Yogurt,133.0,62.0,97.65,False
Feta Cheese,560.0,64.0,403.2,False
Sweet Potato,200.0,98.0,176.4,False
Butter,65.10000000000001,64.0,178.56,False
Coconut Oil,165.0,60.0,270.0,False
Apple,150.5,39.0,122.85000000000001,False
Mushrooms,210.8,58.0,323.64000000000004,False
Mackerel,615.0,66.0,445.5,False
Whole Wheat Bread,59.5,93.0,292.95,False
Sushi Rice,171.0,73.0,312.075,False
Cod,520.0,56.0,403.2,False
Papaya,202.5,35.0,141.75,False
Egg (Goose),87.5,95.0,213.75,False
Bread Flour,144.0,81.0,109.35000000000001,False
Coconut,280.0,42.0,189.0,False
Ricotta Cheese,294.0,38.0,205.20000000000002,False
Raw Sugar,150.0,76.0,102.60000000000001,False
Haddock,270.0,99.0,801.9,False
Papaya,90.0,35.0,141.75,False
Sesame Oil,552.5,46.0,269.1,False
Green Beans,180.6,98.0,185.22000000000003,False
Sourdough Bread,260.0,100.0,360.0,False
Cottage Cheese,335.0,35.0,157.5,False
Ricotta Cheese,528.0,23.0,124.2,False
Robusta Coffee,140.0,32.0,288.0,False
Tilapia,569.5,54.0,325.62,False
Feta Cheese,518.0,21.0,132.3,False
Cheddar Cheese,189.0,69.0,558.9,False
Butter Biscuit,132.0,47.0,253.8,False
Ricotta Cheese,546.0,50.0,270.0,False
Multigrain Bread,297.5,30.0,94.5,False
Peas,36.0,46.0,124.2,False
Pomegranate,258.0,78.0,421.2,False
Yogurt,161.0,50.0,78.75,False
Watermelon,69.0,92.0,248.4,False
Egg (Duck),77.0,58.0,52.2,False
Sweet Potato,130.0,71.0,127.8,False
Banana,1255.42,77.0,1060.9830000000002,False
Swiss Cheese,160.0,50.0,360.0,False
Cheddar Cheese,279.0,63.0,510.3,False
Butter,104.39999999999999,26.0,67.86,False
Black Tea,295.0,45.0,202.5,False
Long Grain Rice,16.5,48.0,64.8,False
Black Coffee,372.0,80.0,1116.0,False
Haddock,675.0,49.0,396.90000000000003,False
Black Coffee,165.0,89.0,1201.5,False
Anchovies,600.0,34.0,306.0,False
Lemon,218.4,38.0,82.08,False
Egg (Goose),107.5,48.0,108.0,False
Bread Flour,37.5,31.0,41.85,False
Parmesan Cheese,1132.8000000000002,78.0,828.3600000000001,False
Mackerel,225.0,80.0,540.0,False
Arborio Rice,252.0,61.0,247.05,False
Whole Wheat Bread,318.5,74.0,233.1,False
White Sugar,54.0,57.0,102.60000000000001,False
Buttermilk,68.60000000000001,76.0,167.58,False
Sour Cream,368.0,23.0,82.8,False
Tuna,666.0,27.0,437.40000000000003,False
Powdered Sugar,70.0,82.0,184.5,False
Tilapia,210.0,48.0,302.40000000000003,False
Arabica Coffee,1960.0,39.0,702.0,False
Lemon,162.5,89.0,200.25,False
Rice Flour,84.0,35.0,63.0,False
Lemon,157.5,33.0,74.25,False
Broccoli,340.0,85.0,306.0,False
Egg (Duck),44.0,96.0,86.4,False
Plum,104.0,47.0,169.20000000000002,False
Coconut Sugar,245.0,93.0,418.5,False
Pomegranate,354.0,47.0,253.8,False
Raw Sugar,28.5,39.0,52.65,False
Eggplant,141.0,39.0,105.3,False
Grapes,539.0,59.0,292.05,False
Watermelon,153.0,23.0,62.1,False
Anchovies,1000.0,54.0,486.0,False
Yogurt,93.5,62.0,94.86,False
Whipped Cream,56.0,90.0,324.0,False
Egg (Quail),23.200000000000003,50.0,36.0,False
Chocolate Biscuit,500.0,47.0,211.5,False
Ricotta Cheese,294.0,70.0,378.0,False
Vegetable Oil,150.0,79.0,142.20000000000002,False
Heavy Cream,336.2,69.0,254.60999999999999,False
Cottage Cheese,326.4,90.0,388.8,False
Corn Oil,175.0,34.0,76.5,False
Salmon,735.0,96.0,1296.0,False
Mackerel,667.5,48.0,324.0,False
Cheese,792.0,56.0,453.6,False
Green Tea,312.0,28.0,201.6,False
Cauliflower,217.5,47.0,105.75,False
Oatmeal Biscuit,465.0,76.0,342.0,False
Egg (Turkey),55.199999999999996,81.0,174.96,False
Vanilla Biscuit,517.0,74.0,366.3,False
Digestive Biscuit,152.0,72.0,259.2,False
Evaporated Milk,22.0,48.0,86.4,False
White Tea,1518.0,43.0,979.1100000000001,False
Avocado Oil,500.0,27.0,243.0,False
Egg (Goose),225.0,51.0,114.75,False
Arborio Rice,387.0,22.0,89.10000000000001,False
Cauliflower,215.0,30.0,67.5,False
Almond Flour,513.0,60.0,513.0,False
Watermelon,81.0,70.0,189.0,False
Rye Bread,150.0,83.0,224.1,False
Onion,136.0,37.0,66.60000000000001,False
Sourdough Bread,92.4,62.0,234.36000000000004,False
Cheese,459.99999999999994,60.0,496.8,False
Bell Pepper,114.4,73.0,289.08000000000004,False
White Tea,1550.0,89.0,2002.5,False
Broccoli,316.0,67.0,241.20000000000002,False
Peach,292.0,75.0,270.0,False
Carrot,26.099999999999998,44.0,57.42,False
Kale,316.0,80.0,288.0,False
Arabica Coffee,460.0,31.0,558.0,False
Milk,18.0,73.0,65.7,False
Sunflower Oil,60.0,91.0,204.75,False
Watermelon,159.0,24.0,64.8,False
Yogurt,148.75,49.0,77.175,False
Sesame Oil,97.5,49.0,286.65000000000003,False
Anchovies,660.0,27.0,243.0,False
Corn Oil,42.5,23.0,51.75,False
Grapes,71.5,42.0,207.9,False
Digestive Biscuit,136.0,78.0,280.8,False
Swiss Cheese,680.0,68.0,489.6,False
Cabbage,12.0,25.0,22.5,False
Oatmeal Biscuit,410.0,21.0,94.5,False
Sourdough Bread,284.0,58.0,208.8,False
Mozzarella Cheese,406.0,62.0,390.6,False
Rice Flour,30.0,90.0,162.0,False
Pineapple,238.0,25.0,78.75,False
White Sugar,26.0,38.0,68.4,False
Sesame Oil,292.5,86.0,503.1,False
Egg (Goose),98.0,76.0,167.58,False
Black Coffee,961.0,34.0,474.3,False
Peanut Oil,316.0,46.0,165.6,False
Peas,225.0,96.0,259.2,False
Almond Flour,722.0,24.0,205.20000000000002,False
Canola Oil,220.79999999999998,61.0,126.26999999999998,False
Canola Oil,158.7,79.0,163.53,False
Butter,144.0,95.0,256.5,False
Cream,196.79999999999998,48.0,103.67999999999999,False
Zucchini,107.5,22.0,49.5,False
Green Coffee,1080.0,81.0,874.8000000000001,False
Milk,11.700000000000001,46.0,37.26,False
Cabbage,62.0,34.0,30.6,False
Coconut Sugar,85.0,76.0,342.0,False
Sesame Oil,650.0,77.0,450.45,False
All-Purpose Flour,94.5,77.0,121.275,False
Whipped Cream,401.79999999999995,89.0,328.40999999999997,False
Herbal Tea,610.0,46.0,1262.7,False
Haddock,387.0,66.0,534.6,False
Green Coffee,348.0,28.0,302.40000000000003,False
Grapes,203.5,34.0,168.3,False
Cheddar Cheese,756.5,57.0,456.57,False
Basmati Rice,114.4,54.0,213.84000000000003,False
White Tea,2275.0,63.0,1417.5,False
Ricotta Cheese,310.0,88.0,491.04,False
Trout,1176.0,62.0,669.6,False
Egg (Duck),37.0,90.0,81.0,False
White Bread,195.0,89.0,200.25,False
Cauliflower,122.39999999999999,52.0,119.34,False
Arabica Coffee,1480.0,100.0,1800.0,False
Pineapple,63.0,88.0,277.2,False
Cauliflower,235.6,92.0,205.344,False
Egg (Turkey),97.5,26.0,58.5,False
Peas,144.0,51.0,137.70000000000002,False
Strawberries,342.20000000000005,52.0,276.12,False
Greek Yogurt,117.0,47.0,126.9,False
Papaya,369.6,54.0,213.84000000000003,False
Sardines,180.0,56.0,302.40000000000003,False
Sesame Oil,91.0,51.0,298.35,False
Powdered Sugar,52.5,37.0,83.25,False
Jasmine Rice,80.75,58.0,247.95000000000002,False
Cauliflower,85.0,28.0,63.0,False
Jasmine Rice,266.0,71.0,303.52500000000003,False
Plum,249.6,60.0,210.6,False
Grapes,478.5,22.0,108.9,False
Papaya,108.0,24.0,97.2,False
Sushi Rice,197.4,32.0,120.96000000000001,False
Digestive Biscuit,244.0,73.0,262.8,False
Rye Bread,134.39999999999998,27.0,68.03999999999999,False
Chocolate Biscuit,185.0,35.0,157.5,False
Arabica Coffee,900.0,36.0,648.0,False
Bread Flour,130.5,58.0,78.3,False
Almond Flour,351.5,38.0,324.90000000000003,False
Robusta Coffee,607.7,90.0,834.3000000000001,False
Pomegranate,372.0,45.0,243.0,False
Yogurt,107.1,56.0,85.68,False
Grapes,209.0,59.0,292.05,False
Mackerel,570.0,31.0,209.25,False
Egg (Quail),27.200000000000003,96.0,69.12000000000002,False
Eggplant,75.0,57.0,153.9,False
Egg (Turkey),215.0,34.0,76.5,False
Oatmeal Biscuit,205.0,50.0,225.0,False
Cauliflower,192.5,64.0,144.0,False
Egg (Duck),41.0,30.0,27.0,False
Orange,129.8,42.0,111.51,False
Avocado Oil,530.0,22.0,198.0,False
Chocolate Biscuit,340.0,70.0,315.0,False
Swiss Cheese,768.0,71.0,511.2,False
Garlic,231.0,46.0,289.8,False
Cauliflower,82.5,90.0,202.5,False
Watermelon,270.0,82.0,221.4,False
Brown Rice,77.5,25.0,56.25,False
Asparagus,460.0,62.0,279.0,False
Cauliflower,165.0,85.0,191.25,False
Anchovies,830.0,33.0,297.0,False
Mango,420.0,30.0,135.0,False
Haddock,684.0,52.0,421.2,False
Pomegranate,156.0,82.0,442.8,False
Green Coffee,762.5,95.0,1068.75,False
Evaporated Milk,28.5,71.0,121.41000000000001,False
Apricot,365.0,87.0,391.5,False
Whole Wheat Flour,108.64999999999999,50.0,119.25,False
Avocado Oil,140.0,65.0,585.0,False
Mango,495.0,52.0,234.0,False
Asparagus,400.0,26.0,117.0,False
Eggplant,147.0,37.0,99.9,False
Grapes,137.5,41.0,202.95000000000002,False
Sesame Oil,253.5,54.0,315.90000000000003,False
Orange,272.59999999999997,57.0,148.76999999999998,False
Sardines,66.0,69.0,372.6,False
Peanut Oil,84.0,49.0,176.4,False
Kiwi,216.6,53.0,271.89000000000004,False
Palm Oil,104.4,82.0,132.84,False
Plum,327.25,58.0,200.97000000000003,False
Cauliflower,157.5,62.0,139.5,False
Coconut Oil,270.0,29.0,130.5,False
Cherry,240.0,42.0,302.40000000000003,False
Cauliflower,142.5,78.0,175.5,False
Vegetable Oil,36.0,25.0,45.0,False
Tuna,288.0,35.0,567.0,False
Buttermilk,97.5,46.0,103.5,False
Lemon,144.55,30.0,66.15,False
Salmon,1185.0,42.0,567.0,False
Egg (Quail),62.400000000000006,49.0,35.28,False
Sushi Rice,93.5,64.0,244.8,False
Egg (Chicken),2.0,100.0,18.0,False
Arborio Rice,153.0,42.0,170.1,False
Heavy Cream,296.0,65.0,234.0,False
Sushi Rice,43.0,29.0,112.22999999999999,False
Basmati Rice,49.5,29.0,117.45,False
Grapes,544.5,59.0,292.05,False
Swiss Cheese,512.0,53.0,381.6,False
Pear,258.1,62.0,248.31000000000003,False
Corn Oil,65.0,45.0,101.25,False
Raw Sugar,108.0,39.0,52.65,False
Mozzarella Cheese,255.6,27.0,172.53,False
Mushrooms,144.0,85.0,459.0,False
Onion,32.0,22.0,39.6,False
Banana,545.61,58.0,730.278,False
Zucchini,222.5,27.0,60.75,False
Cherry,456.0,44.0,316.8,False
Herbal Tea,1830.0,90.0,2430.0,False
Short Grain Rice,168.0,93.0,251.1,False
Cream,49.35,87.0,184.00500000000002,False
Grapes,324.5,74.0,366.3,False
Green Coffee,240.0,38.0,410.40000000000003,False
Rye Bread,297.0,49.0,132.3,False
